energy_type,candidate_name,region,latitude,longitude,final_score,weather_resource_score,grid_connection_score,gir_evidence_score,interpolation_confidence,distance_to_transmission_km,mean_wind_speed_100m_ms,p90_wind_speed_100m_ms,total_shortwave_radiation_kwh_m2,total_sunshine_hours,nearest_weather_point,nearest_weather_distance_km,gir_mentions_nearby,gir_evidence_titles,candidate_source,score_formula,rank
solar,Rangiora,Canterbury,-43.304,172.595,74.1,70.2,100.0,36.4,100.0,2.26,5.382,10.1,3079.187,6596.7,Rangiora,0.0,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,1
solar,Amberley - Rangiora corridor,Canterbury,-43.2295,172.6625,72.8,69.4,100.0,33.3,92.0,0.22,5.73,10.56,3046.368,6537.01,Rangiora,9.92,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,2
solar,Amberley - Darfield corridor,Canterbury,-43.322,172.421,72.8,69.3,100.0,35.1,88.1,9.05,5.502,10.136,3040.217,6516.01,Rangiora,14.22,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,3
solar,Amberley,Canterbury,-43.155,172.73,72.4,68.9,100.0,29.9,100.0,3.15,6.158,11.15,3022.412,6501.06,Amberley,0.0,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,4
solar,Rangiora - Darfield corridor,Canterbury,-43.3965,172.3535,72.0,68.4,100.0,35.8,81.1,9.52,5.619,10.068,3000.119,6430.52,Darfield,22.04,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,5
solar,Marsden Point,Northland,-35.842,174.5,71.6,75.6,100.0,0.0,100.0,1.95,7.014,11.29,3314.084,7051.93,Marsden Point,0.0,0,,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,6
solar,Whangarei Heads,Northland,-35.816,174.537,71.6,75.6,100.0,0.0,100.0,6.3,7.014,11.29,3314.084,7051.93,Whangarei Heads,0.0,0,,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,7
solar,Whakatane,Bay of Plenty,-37.953,176.99,71.6,75.6,100.0,0.0,100.0,6.51,5.187,8.73,3314.416,6995.82,Whakatane,0.0,0,,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,8
solar,Marsden Point - Whangarei Heads corridor,Northland,-35.829,174.5185,71.5,75.6,100.0,0.0,98.9,4.11,7.014,11.29,3314.0,7051.7,Marsden Point,2.21,0,,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,9
solar,Darfield,Canterbury,-43.489,172.112,71.3,67.0,100.0,29.9,100.0,2.38,6.149,10.29,2940.413,6291.48,Darfield,0.0,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,10
